name,url,power,value
Doombringer (Earth-616),/wiki/Doombringer_(Earth-616),Intelligence,Slow or Impaired
Doppelganger (Spider-Man) (Earth-616),/wiki/Doppelganger_(Spider-Man)_(Earth-616),Intelligence,Slow or Impaired
Draconus (Earth-616),/wiki/Draconus_(Earth-616),Intelligence,Slow or Impaired
Dreamstalker (Earth-616),/wiki/Dreamstalker_(Earth-616),Intelligence,Slow or Impaired
Edward Cobert (Earth-616),/wiki/Edward_Cobert_(Earth-616),Intelligence,Slow or Impaired
Edward Whelan (Earth-616),/wiki/Edward_Whelan_(Earth-616),Intelligence,Slow or Impaired
Elektro (Earth-616),/wiki/Elektro_(Earth-616),Intelligence,Slow or Impaired
Elendil (Earth-616),/wiki/Elendil_(Earth-616),Intelligence,Slow or Impaired
Frank Bigelow (Earth-616),/wiki/Frank_Bigelow_(Earth-616),Intelligence,Slow or Impaired
Frank Simpson (Earth-616),/wiki/Frank_Simpson_(Earth-616),Intelligence,Slow or Impaired
Friedrich von Roehm (Earth-616),/wiki/Friedrich_von_Roehm_(Earth-616),Intelligence,Slow or Impaired
Fury (Earth-238),/wiki/Fury_(Earth-238),Intelligence,Slow or Impaired
Garthan Saal (Earth-616),/wiki/Garthan_Saal_(Earth-616),Intelligence,Slow or Impaired
Godstorm (Earth-616),/wiki/Godstorm_(Earth-616),Intelligence,Slow or Impaired
Gorgilla (Earth-616),/wiki/Gorgilla_(Earth-616),Intelligence,Slow or Impaired
Gwendolyne Stacy (Clone) (Earth-1610),/wiki/Gwendolyne_Stacy_(Clone)_(Earth-1610),Intelligence,Slow or Impaired
Harold Hogan (Earth-616),/wiki/Harold_Hogan_(Earth-616),Intelligence,Slow or Impaired
Hecatomb (Earth-616),/wiki/Hecatomb_(Earth-616),Intelligence,Slow or Impaired
Hi-Vo (Earth-616),/wiki/Hi-Vo_(Earth-616),Intelligence,Slow or Impaired
Ina (Earth-616),/wiki/Ina_(Earth-616),Intelligence,Slow or Impaired
Infant Terrible (Earth-616),/wiki/Infant_Terrible_(Earth-616),Intelligence,Slow or Impaired
Isaiah Bradley (Earth-616),/wiki/Isaiah_Bradley_(Earth-616),Intelligence,Slow or Impaired
It the Living Colossus (Earth-616),/wiki/It_the_Living_Colossus_(Earth-616),Intelligence,Slow or Impaired
Ivan Kronov (Earth-616),/wiki/Ivan_Kronov_(Earth-616),Intelligence,Slow or Impaired
John Horton (Earth-616),/wiki/John_Horton_(Earth-616),Intelligence,Slow or Impaired
Kerberos (Earth-616),/wiki/Kerberos_(Earth-616),Intelligence,Slow or Impaired
Klaatu (Earth-616),/wiki/Klaatu_(Earth-616),Intelligence,Slow or Impaired
Krakoa (Earth-616),/wiki/Krakoa_(Earth-616),Intelligence,Slow or Impaired
Kyle Gibney (Earth-295),/wiki/Kyle_Gibney_(Earth-295),Intelligence,Slow or Impaired
Living Brain (Earth-616),/wiki/Living_Brain_(Earth-616),Intelligence,Slow or Impaired
Malcolm Murphy (Earth-616),/wiki/Malcolm_Murphy_(Earth-616),Intelligence,Slow or Impaired
Man-oo (Earth-616),/wiki/Man-oo_(Earth-616),Intelligence,Slow or Impaired
Marrina Smallwood (Earth-616),/wiki/Marrina_Smallwood_(Earth-616),Intelligence,Slow or Impaired
Max (Punisher's Dog) (Earth-616),/wiki/Max_(Punisher%27s_Dog)_(Earth-616),Intelligence,Slow or Impaired
Mechano (Earth-616),/wiki/Mechano_(Earth-616),Intelligence,Slow or Impaired
Mike Columbus (Earth-616),/wiki/Mike_Columbus_(Earth-616),Intelligence,Slow or Impaired
Milos Masaryk (Earth-616),/wiki/Milos_Masaryk_(Earth-616),Intelligence,Slow or Impaired
Mort Graves (Earth-616),/wiki/Mort_Graves_(Earth-616),Intelligence,Slow or Impaired
Native (Earth-616),/wiki/Native_(Earth-616),Intelligence,Slow or Impaired
Nimo (Earth-616),/wiki/Nimo_(Earth-616),Intelligence,Slow or Impaired
Normie (Earth-616),/wiki/Normie_(Earth-616),Intelligence,Slow or Impaired
Omnivore (Earth-616),/wiki/Omnivore_(Earth-616),Intelligence,Slow or Impaired
Paul Cartier (Earth-616),/wiki/Paul_Cartier_(Earth-616),Intelligence,Slow or Impaired
Paul-Philip Ravage (Earth-928),/wiki/Paul-Philip_Ravage_(Earth-928),Intelligence,Slow or Impaired
Peter Quinn (Earth-616),/wiki/Peter_Quinn_(Earth-616),Intelligence,Slow or Impaired
Phaeder (Earth-616),/wiki/Phaeder_(Earth-616),Intelligence,Slow or Impaired
Preak (Earth-616),/wiki/Preak_(Earth-616),Intelligence,Slow or Impaired
Preyy (Earth-616),/wiki/Preyy_(Earth-616),Intelligence,Slow or Impaired
Punisher (Galactus' Robot) (Earth-616),/wiki/Punisher_(Galactus%27_Robot)_(Earth-616),Intelligence,Slow or Impaired
Puppy (Earth-616),/wiki/Puppy_(Earth-616),Intelligence,Slow or Impaired
Redwing (Earth-616),/wiki/Redwing_(Earth-616),Intelligence,Slow or Impaired
Replica Model X-3 (Earth-616),/wiki/Replica_Model_X-3_(Earth-616),Intelligence,Slow or Impaired
Sassafras (Earth-616),/wiki/Sassafras_(Earth-616),Intelligence,Slow or Impaired
Simon Garth (Earth-616),/wiki/Simon_Garth_(Earth-616),Intelligence,Slow or Impaired
Sister Nil (Earth-616),/wiki/Sister_Nil_(Earth-616),Intelligence,Slow or Impaired
Strider (Earth-616),/wiki/Strider_(Earth-616),Intelligence,Slow or Impaired
Sumner Beckwith (Earth-616),/wiki/Sumner_Beckwith_(Earth-616),Intelligence,Slow or Impaired
Super-Ego (Earth-616),/wiki/Super-Ego_(Earth-616),Intelligence,Slow or Impaired
TESS-One (Earth-616),/wiki/TESS-One_(Earth-616),Intelligence,Slow or Impaired
Theodore Sallis (Earth-616),/wiki/Theodore_Sallis_(Earth-616),Intelligence,Slow or Impaired
Thermal Man (Earth-616),/wiki/Thermal_Man_(Earth-616),Intelligence,Slow or Impaired
Tomazooma (Robot) (Earth-616),/wiki/Tomazooma_(Robot)_(Earth-616),Intelligence,Slow or Impaired
Ultimo (Earth-616),/wiki/Ultimo_(Earth-616),Intelligence,Slow or Impaired
Uncegila (Earth-616),/wiki/Uncegila_(Earth-616),Intelligence,Slow or Impaired
Valinor (Earth-616),/wiki/Valinor_(Earth-616),Intelligence,Slow or Impaired
Videoman (Earth-616),/wiki/Videoman_(Earth-616),Intelligence,Slow or Impaired
Vixen (British Crimelord) (Earth-616),/wiki/Vixen_(British_Crimelord)_(Earth-616),Intelligence,Slow or Impaired
William McLaughlin (Earth-616),/wiki/William_McLaughlin_(Earth-616),Intelligence,Slow or Impaired
William Taurens (Earth-616),/wiki/William_Taurens_(Earth-616),Intelligence,Slow or Impaired
Wundarr (Earth-616),/wiki/Wundarr_(Earth-616),Intelligence,Slow or Impaired
Xanth (Earth-81049),/wiki/Xanth_(Earth-81049),Intelligence,Slow or Impaired
Zabu (Earth-616),/wiki/Zabu_(Earth-616),Intelligence,Slow or Impaired
Zaniac (Earth-616),/wiki/Zaniac_(Earth-616),Intelligence,Slow or Impaired
Zar (Earth-616),/wiki/Zar_(Earth-616),Intelligence,Slow or Impaired
Zzzax (Earth-616),/wiki/Zzzax_(Earth-616),Intelligence,Slow or Impaired
A'Sai (Earth-616),/wiki/A%27Sai_(Earth-616),Intelligence,Normal
Aaron Chord (Earth-616),/wiki/Aaron_Chord_(Earth-616),Intelligence,Normal
Abdul Qamar (Earth-616),/wiki/Abdul_Qamar_(Earth-616),Intelligence,Normal
Abigail Boylen (Earth-616),/wiki/Abigail_Boylen_(Earth-616),Intelligence,Normal
Abyss (Cosmic Sorcerer) (Earth-616),/wiki/Abyss_(Cosmic_Sorcerer)_(Earth-616),Intelligence,Normal
Achelous (Earth-616),/wiki/Achelous_(Earth-616),Intelligence,Normal
Adri Nital (Earth-616),/wiki/Adri_Nital_(Earth-616),Intelligence,Normal
Adrian Corbo (Earth-616),/wiki/Adrian_Corbo_(Earth-616),Intelligence,Normal
Aegis (Monster) (Earth-616),/wiki/Aegis_(Monster)_(Earth-616),Intelligence,Normal
Agent X (Nijo) (Earth-616),/wiki/Agent_X_(Nijo)_(Earth-616),Intelligence,Normal
Ahmet Abdol (Earth-616),/wiki/Ahmet_Abdol_(Earth-616),Intelligence,Normal
Ahura Boltagon (Earth-616),/wiki/Ahura_Boltagon_(Earth-616),Intelligence,Normal
Ai Apaec (Earth-616),/wiki/Ai_Apaec_(Earth-616),Intelligence,Normal
Aiden Gillespie (Earth-616),/wiki/Aiden_Gillespie_(Earth-616),Intelligence,Normal
Aireo (Earth-616),/wiki/Aireo_(Earth-616),Intelligence,Normal
Alan Fagan (Earth-616),/wiki/Alan_Fagan_(Earth-616),Intelligence,Normal
Alana Jobson (Earth-616),/wiki/Alana_Jobson_(Earth-616),Intelligence,Normal
Alejandra Jones (Earth-616),/wiki/Alejandra_Jones_(Earth-616),Intelligence,Normal
Aleksei Sytsevich (Earth-616),/wiki/Aleksei_Sytsevich_(Earth-616),Intelligence,Normal
Aleksey Lebedev (Earth-616),/wiki/Aleksey_Lebedev_(Earth-616),Intelligence,Normal
Aleta Ogord (Earth-691),/wiki/Aleta_Ogord_(Earth-691),Intelligence,Normal
Alex Wildman (Earth-616),/wiki/Alex_Wildman_(Earth-616),Intelligence,Normal
Alexander Aaron (Earth-616),/wiki/Alexander_Aaron_(Earth-616),Intelligence,Normal
Alexander Ellis (Earth-616),/wiki/Alexander_Ellis_(Earth-616),Intelligence,Normal
Alexander Woolcot (Earth-616),/wiki/Alexander_Woolcot_(Earth-616),Intelligence,Normal
Alfonso Lopez (Earth-616),/wiki/Alfonso_Lopez_(Earth-616),Intelligence,Normal
Alioth (Temporal Limbo),/wiki/Alioth_(Temporal_Limbo),Intelligence,Normal
Alisher Sham (Earth-616),/wiki/Alisher_Sham_(Earth-616),Intelligence,Normal
Alison Blaire (Earth-295),/wiki/Alison_Blaire_(Earth-295),Intelligence,Normal
Alison Blaire (Earth-1610),/wiki/Alison_Blaire_(Earth-1610),Intelligence,Normal
Allan Lewis (Earth-616),/wiki/Allan_Lewis_(Earth-616),Intelligence,Normal
Alysande Stuart (Earth-9809),/wiki/Alysande_Stuart_(Earth-9809),Intelligence,Normal
Amara Aquilla (Earth-616),/wiki/Amara_Aquilla_(Earth-616),Intelligence,Normal
Ambrose Meek (Earth-616),/wiki/Ambrose_Meek_(Earth-616),Intelligence,Normal
Amelia Weatherly (Earth-616),/wiki/Amelia_Weatherly_(Earth-616),Intelligence,Normal
American Samurai (Earth-616),/wiki/American_Samurai_(Earth-616),Intelligence,Normal
Amiko Kobayashi (Earth-616),/wiki/Amiko_Kobayashi_(Earth-616),Intelligence,Normal
Amphibius (Earth-616),/wiki/Amphibius_(Earth-616),Intelligence,Normal
Ana Shwartz (Earth-616),/wiki/Ana_Shwartz_(Earth-616),Intelligence,Normal
Ananastasia Rinaldi (Earth-616),/wiki/Ananastasia_Rinaldi_(Earth-616),Intelligence,Normal
Andrea Benton (Earth-616),/wiki/Andrea_Benton_(Earth-616),Intelligence,Normal
Andrea Roarke (Earth-616),/wiki/Andrea_Roarke_(Earth-616),Intelligence,Normal
Andrea von Strucker (Clone) (Earth-616),/wiki/Andrea_von_Strucker_(Clone)_(Earth-616),Intelligence,Normal
Andrea von Strucker (Earth-616),/wiki/Andrea_von_Strucker_(Earth-616),Intelligence,Normal
Andreas von Strucker (Earth-616),/wiki/Andreas_von_Strucker_(Earth-616),Intelligence,Normal
Andrew Graves (Earth-616),/wiki/Andrew_Graves_(Earth-616),Intelligence,Normal
Android Man (Earth-616),/wiki/Android_Man_(Earth-616),Intelligence,Normal
Andromeda Attumasen (Earth-616),/wiki/Andromeda_Attumasen_(Earth-616),Intelligence,Normal
André Gerard (Earth-616),/wiki/Andr%C3%A9_Gerard_(Earth-616),Intelligence,Normal
Anelle (Earth-616),/wiki/Anelle_(Earth-616),Intelligence,Normal
Angel Dust (Christina) (Earth-616),/wiki/Angel_Dust_(Christina)_(Earth-616),Intelligence,Normal
Angel Salvadore (Earth-616),/wiki/Angel_Salvadore_(Earth-616),Intelligence,Normal
Angela Cairn (Earth-616),/wiki/Angela_Cairn_(Earth-616),Intelligence,Normal
Angelica Jones (Earth-616),/wiki/Angelica_Jones_(Earth-616),Intelligence,Normal
Angelina Brancale (Earth-616),/wiki/Angelina_Brancale_(Earth-616),Intelligence,Normal
Angelo Espinosa (Earth-616),/wiki/Angelo_Espinosa_(Earth-616),Intelligence,Normal
Anna Watson (Earth-616),/wiki/Anna_Watson_(Earth-616),Intelligence,Normal
Annalee (Earth-616),/wiki/Annalee_(Earth-616),Intelligence,Normal
Anne Weying (Earth-616),/wiki/Anne_Weying_(Earth-616),Intelligence,Normal
Anne-Marie Cortez (Earth-616),/wiki/Anne-Marie_Cortez_(Earth-616),Intelligence,Normal
Anti-Cap (Earth-616),/wiki/Anti-Cap_(Earth-616),Intelligence,Normal
Antoine Delsoin (Earth-616),/wiki/Antoine_Delsoin_(Earth-616),Intelligence,Normal
Anton Miguel Rodriquez (Earth-616),/wiki/Anton_Miguel_Rodriquez_(Earth-616),Intelligence,Normal
Antonio Rodriguez (Earth-616),/wiki/Antonio_Rodriguez_(Earth-616),Intelligence,Normal
Antonio Rojo (Earth-616),/wiki/Antonio_Rojo_(Earth-616),Intelligence,Normal
Apache Kid (Rosa) (Earth-616),/wiki/Apache_Kid_(Rosa)_(Earth-616),Intelligence,Normal
Ape (Old West) (Earth-616),/wiki/Ape_(Old_West)_(Earth-616),Intelligence,Normal
April Parker (Earth-982),/wiki/April_Parker_(Earth-982),Intelligence,Normal
Arc (Imperial Guard) (Earth-616),/wiki/Arc_(Imperial_Guard)_(Earth-616),Intelligence,Normal
Archibald Dyker (Earth-616),/wiki/Archibald_Dyker_(Earth-616),Intelligence,Normal
Ard-Con (Earth-616),/wiki/Ard-Con_(Earth-616),Intelligence,Normal
Ardina (Earth-616),/wiki/Ardina_(Earth-616),Intelligence,Normal
Ares (Earth-616),/wiki/Ares_(Earth-616),Intelligence,Normal
Aria (Earth-616),/wiki/Aria_(Earth-616),Intelligence,Normal
Ariel Tremmore (Earth-616),/wiki/Ariel_Tremmore_(Earth-616),Intelligence,Normal
Arkady Rossovich (Earth-616),/wiki/Arkady_Rossovich_(Earth-616),Intelligence,Normal
Arkady Rossovich (Earth-1610),/wiki/Arkady_Rossovich_(Earth-1610),Intelligence,Normal
Arkon (Earth-616),/wiki/Arkon_(Earth-616),Intelligence,Normal
Armorer (Earth-616),/wiki/Armorer_(Earth-616),Intelligence,Normal
Arnold Lundberg (Earth-616),/wiki/Arnold_Lundberg_(Earth-616),Intelligence,Normal
Arthur Centino (Earth-1610),/wiki/Arthur_Centino_(Earth-1610),Intelligence,Normal
Arthur Douglas (Earth-616),/wiki/Arthur_Douglas_(Earth-616),Intelligence,Normal
Arthur Stacy (Earth-616),/wiki/Arthur_Stacy_(Earth-616),Intelligence,Normal
Ashley Barton (Earth-807128),/wiki/Ashley_Barton_(Earth-807128),Intelligence,Normal
Ashley Crawford (Earth-616),/wiki/Ashley_Crawford_(Earth-616),Intelligence,Normal
Astra (Imperial Guard) (Earth-616),/wiki/Astra_(Imperial_Guard)_(Earth-616),Intelligence,Normal
Attuma (Earth-616),/wiki/Attuma_(Earth-616),Intelligence,Normal
Ava Ayala (Earth-616),/wiki/Ava_Ayala_(Earth-616),Intelligence,Normal
Avery Connor (Earth-616),/wiki/Avery_Connor_(Earth-616),Intelligence,Normal
Awesome Android (Earth-616),/wiki/Awesome_Android_(Earth-616),Intelligence,Normal
Axel Cluney (Earth-616),/wiki/Axel_Cluney_(Earth-616),Intelligence,Normal
B'nee and C'cil (Earth-616),/wiki/B%27nee_and_C%27cil_(Earth-616),Intelligence,Normal
Balder Odinson (Earth-616),/wiki/Balder_Odinson_(Earth-616),Intelligence,Normal
Bambina Arbogast (Earth-616),/wiki/Bambina_Arbogast_(Earth-616),Intelligence,Normal
Barbara Robb (Earth-616),/wiki/Barbara_Robb_(Earth-616),Intelligence,Normal
Barbarus (Earth-616),/wiki/Barbarus_(Earth-616),Intelligence,Normal
Barnabus Mullen (Earth-616),/wiki/Barnabus_Mullen_(Earth-616),Intelligence,Normal
Battering Ram (Earth-616),/wiki/Battering_Ram_(Earth-616),Intelligence,Normal
Beatta Dubiel (Earth-616),/wiki/Beatta_Dubiel_(Earth-616),Intelligence,Normal
Beautiful Dreamer (Morlock) (Earth-616),/wiki/Beautiful_Dreamer_(Morlock)_(Earth-616),Intelligence,Normal
Beckah Parker (Earth-616),/wiki/Beckah_Parker_(Earth-616),Intelligence,Normal
Bella Donna Boudreaux (Earth-616),/wiki/Bella_Donna_Boudreaux_(Earth-616),Intelligence,Normal
Benjamin Beckley (Earth-616),/wiki/Benjamin_Beckley_(Earth-616),Intelligence,Normal
Benjamin Grimm (Earth-1610),/wiki/Benjamin_Grimm_(Earth-1610),Intelligence,Normal
Benjamin Grimm (Earth-50701),/wiki/Benjamin_Grimm_(Earth-50701),Intelligence,Normal
Benjamin Parker (Earth-616),/wiki/Benjamin_Parker_(Earth-616),Intelligence,Normal
Benjamin Parker (Earth-1610),/wiki/Benjamin_Parker_(Earth-1610),Intelligence,Normal
Benjamin Parker (Earth-6078),/wiki/Benjamin_Parker_(Earth-6078),Intelligence,Normal
Benjamin Ruff (Earth-616),/wiki/Benjamin_Ruff_(Earth-616),Intelligence,Normal
Benjamin Urich (Earth-616),/wiki/Benjamin_Urich_(Earth-616),Intelligence,Normal
Bennet du Paris (Earth-616),/wiki/Bennet_du_Paris_(Earth-616),Intelligence,Normal
Berserker (Primitive) (Earth-616),/wiki/Berserker_(Primitive)_(Earth-616),Intelligence,Normal
Bessie (Earth-616),/wiki/Bessie_(Earth-616),Intelligence,Normal
Beta Ray Bill (Earth-616),/wiki/Beta_Ray_Bill_(Earth-616),Intelligence,Normal
Bete Noir (Earth-616),/wiki/Bete_Noir_(Earth-616),Intelligence,Normal
Bethany Cabe (Earth-616),/wiki/Bethany_Cabe_(Earth-616),Intelligence,Normal
Bird-Brain (Earth-616),/wiki/Bird-Brain_(Earth-616),Intelligence,Normal
Black Brigade (Earth-616),/wiki/Black_Brigade_(Earth-616),Intelligence,Normal
Black Fox (Thief) (Earth-616),/wiki/Black_Fox_(Thief)_(Earth-616),Intelligence,Normal
Blackagar Boltagon (Earth-616),/wiki/Blackagar_Boltagon_(Earth-616),Intelligence,Normal
Blackie Drago (Earth-1610),/wiki/Blackie_Drago_(Earth-1610),Intelligence,Normal
Blackie Gaxton (Earth-616),/wiki/Blackie_Gaxton_(Earth-616),Intelligence,Normal
Blackthorn (Earth-616),/wiki/Blackthorn_(Earth-616),Intelligence,Normal
Blaine Colt (Earth-616),/wiki/Blaine_Colt_(Earth-616),Intelligence,Normal
Blanche Sitznski (Earth-616),/wiki/Blanche_Sitznski_(Earth-616),Intelligence,Normal
Blank (Clyde) (Earth-616),/wiki/Blank_(Clyde)_(Earth-616),Intelligence,Normal
Blastaar (Earth-616),/wiki/Blastaar_(Earth-616),Intelligence,Normal
Blimp (Earth-616),/wiki/Blimp_(Earth-616),Intelligence,Normal
Blindspot (Mutant) (Earth-616),/wiki/Blindspot_(Mutant)_(Earth-616),Intelligence,Normal
Bloodscream (Earth-616),/wiki/Bloodscream_(Earth-616),Intelligence,Normal
Blow-Hard (Earth-616),/wiki/Blow-Hard_(Earth-616),Intelligence,Normal
Bob Dobalina (Earth-616),/wiki/Bob_Dobalina_(Earth-616),Intelligence,Normal
Bonebreaker (Earth-616),/wiki/Bonebreaker_(Earth-616),Intelligence,Normal
Bonham (Earth-616),/wiki/Bonham_(Earth-616),Intelligence,Normal
Boris Karela (Earth-616),/wiki/Boris_Karela_(Earth-616),Intelligence,Normal
Boss Morgan (Earth-616),/wiki/Boss_Morgan_(Earth-616),Intelligence,Normal
Bounty (Humanoid) (Earth-616),/wiki/Bounty_(Humanoid)_(Earth-616),Intelligence,Normal
Bradley Kroon (Earth-616),/wiki/Bradley_Kroon_(Earth-616),Intelligence,Normal
Brandon Sharpe (Earth-616),/wiki/Brandon_Sharpe_(Earth-616),Intelligence,Normal
Brell (Earth-616),/wiki/Brell_(Earth-616),Intelligence,Normal
Brenda Drago (Earth-982),/wiki/Brenda_Drago_(Earth-982),Intelligence,Normal
Brent Jackson (Earth-616),/wiki/Brent_Jackson_(Earth-616),Intelligence,Normal
Brian Cruz (Earth-616),/wiki/Brian_Cruz_(Earth-616),Intelligence,Normal
Brian Falsworth (Earth-616),/wiki/Brian_Falsworth_(Earth-616),Intelligence,Normal
Brian Muldoon (Earth-616),/wiki/Brian_Muldoon_(Earth-616),Intelligence,Normal
Bride of Nine Spiders (Earth-616),/wiki/Bride_of_Nine_Spiders_(Earth-616),Intelligence,Normal
Brightwind (Earth-616),/wiki/Brightwind_(Earth-616),Intelligence,Normal
Brock Jones (Earth-616),/wiki/Brock_Jones_(Earth-616),Intelligence,Normal
Brock Rumlow (Earth-616),/wiki/Brock_Rumlow_(Earth-616),Intelligence,Normal
Bruce Banner (Earth-616),/wiki/Bruce_Banner_(Earth-616),Intelligence,Normal
Bruce Bravelle (Earth-616),/wiki/Bruce_Bravelle_(Earth-616),Intelligence,Normal
Brunnhilde (Earth-616),/wiki/Brunnhilde_(Earth-616),Intelligence,Normal
Brynocki (Earth-616),/wiki/Brynocki_(Earth-616),Intelligence,Normal
Buck Cashman (Earth-616),/wiki/Buck_Cashman_(Earth-616),Intelligence,Normal
Buck Chisholm (Earth-616),/wiki/Buck_Chisholm_(Earth-616),Intelligence,Normal
Buford Lange (Earth-616),/wiki/Buford_Lange_(Earth-616),Intelligence,Normal
Buford Wilson (Earth-616),/wiki/Buford_Wilson_(Earth-616),Intelligence,Normal
Bullseye (Lester) (Earth-616),/wiki/Bullseye_(Lester)_(Earth-616),Intelligence,Normal
Burglar (Earth-616),/wiki/Burglar_(Earth-616),Intelligence,Normal
Byron Spencer (Earth-616),/wiki/Byron_Spencer_(Earth-616),Intelligence,Normal
Caiera (Earth-616),/wiki/Caiera_(Earth-616),Intelligence,Normal
Cain Marko (Earth-616),/wiki/Cain_Marko_(Earth-616),Intelligence,Normal
Cain Marko (Earth-1610),/wiki/Cain_Marko_(Earth-1610),Intelligence,Normal
Caliban (Earth-616),/wiki/Caliban_(Earth-616),Intelligence,Normal
Calvin Carr (Earth-616),/wiki/Calvin_Carr_(Earth-616),Intelligence,Normal
Calvin Rankin (Earth-616),/wiki/Calvin_Rankin_(Earth-616),Intelligence,Normal
Camille Benally (Earth-616),/wiki/Camille_Benally_(Earth-616),Intelligence,Normal
Captain (Nextwave) (Earth-616),/wiki/Captain_(Nextwave)_(Earth-616),Intelligence,Normal
Captain America (Earth-1298),/wiki/Captain_America_(Earth-1298),Intelligence,Normal
Captain Barracuda (Earth-616),/wiki/Captain_Barracuda_(Earth-616),Intelligence,Normal
Carl Blake (Earth-616),/wiki/Carl_Blake_(Earth-616),Intelligence,Normal
Carl Burbank (Earth-616),/wiki/Carl_Burbank_(Earth-616),Intelligence,Normal
Carl Creel (Earth-616),/wiki/Carl_Creel_(Earth-616),Intelligence,Normal
Carl King (Earth-616),/wiki/Carl_King_(Earth-616),Intelligence,Normal
Carlos Cabrera (Earth-616),/wiki/Carlos_Cabrera_(Earth-616),Intelligence,Normal
Carmella Unuscione (Earth-616),/wiki/Carmella_Unuscione_(Earth-616),Intelligence,Normal
Carmilla Black (Earth-616),/wiki/Carmilla_Black_(Earth-616),Intelligence,Normal
Carson Knowles (Earth-616),/wiki/Carson_Knowles_(Earth-616),Intelligence,Normal
Carter Ghazikhanian (Earth-616),/wiki/Carter_Ghazikhanian_(Earth-616),Intelligence,Normal
Cassandra Lang (Earth-616),/wiki/Cassandra_Lang_(Earth-616),Intelligence,Normal
Cassandra Richards (Earth-6311),/wiki/Cassandra_Richards_(Earth-6311),Intelligence,Normal
Cat Burglar (Earth-616),/wiki/Cat_Burglar_(Earth-616),Intelligence,Normal
Cathy Webster (Earth-616),/wiki/Cathy_Webster_(Earth-616),Intelligence,Normal
Cauldron (Earth-616),/wiki/Cauldron_(Earth-616),Intelligence,Normal
Ce'Athauna Asira Davin (Earth-616),/wiki/Ce%27Athauna_Asira_Davin_(Earth-616),Intelligence,Normal
Cecilia Cardinale (Earth-616),/wiki/Cecilia_Cardinale_(Earth-616),Intelligence,Normal
Cell (Earth-616),/wiki/Cell_(Earth-616),Intelligence,Normal
Cerberus (Earth-616),/wiki/Cerberus_(Earth-616),Intelligence,Normal
Cessily Kincaid (Earth-616),/wiki/Cessily_Kincaid_(Earth-616),Intelligence,Normal
Ch'vayre (Earth-4935),/wiki/Ch%27vayre_(Earth-4935),Intelligence,Normal
Chance (Fallen Angels) (Earth-616),/wiki/Chance_(Fallen_Angels)_(Earth-616),Intelligence,Normal
Charles Barton (Earth-616),/wiki/Charles_Barton_(Earth-616),Intelligence,Normal
