name,url,min Durability,min Energy_Projection,min Fighting_Skills,min Intelligence,min Speed,min Strength,max Durability,max Energy_Projection,max Fighting_Skills,max Intelligence,max Speed,max Strength
Abigail Boylen (Earth-616),https://marvel.fandom.com/wiki/Abigail_Boylen_(Earth-616),2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0
Abigail Brand (Earth-616),https://marvel.fandom.com/wiki/Abigail_Brand_(Earth-616),4.0,2.0,6.0,3.0,2.0,2.0,4.0,2.0,6.0,3.0,2.0,2.0
Abigail Wright (Earth-616),https://marvel.fandom.com/wiki/Abigail_Wright_(Earth-616),7.0,6.0,3.0,4.0,2.0,6.0,7.0,6.0,3.0,4.0,7.0,6.0
Abner Jenkins (Earth-616),https://marvel.fandom.com/wiki/Abner_Jenkins_(Earth-616),6.0,6.0,4.0,4.0,5.0,4.0,6.0,6.0,4.0,4.0,5.0,4.0
Abner Jonas (Earth-616),https://marvel.fandom.com/wiki/Abner_Jonas_(Earth-616),2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0
Abraham Erskine (Earth-616),https://marvel.fandom.com/wiki/Abraham_Erskine_(Earth-616),2.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0
Abraham Zimmer (Earth-616),https://marvel.fandom.com/wiki/Abraham_Zimmer_(Earth-616),2.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,2.0
Absolon Mercator (Earth-616),https://marvel.fandom.com/wiki/Absolon_Mercator_(Earth-616),6.0,7.0,2.0,3.0,2.0,2.0,6.0,7.0,2.0,3.0,2.0,2.0
Abyss (Cosmic Sorcerer) (Earth-616),https://marvel.fandom.com/wiki/Abyss_(Cosmic_Sorcerer)_(Earth-616),2.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0
Abyss (Ex Nihilo's) (Earth-616),https://marvel.fandom.com/wiki/Abyss_(Ex_Nihilo%27s)_(Earth-616),4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0
Achebe (Earth-616),https://marvel.fandom.com/wiki/Achebe_(Earth-616),2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0
Achelous (Earth-616),https://marvel.fandom.com/wiki/Achelous_(Earth-616),6.0,1.0,4.0,2.0,3.0,6.0,6.0,1.0,4.0,2.0,3.0,6.0
Achmed Korba (Earth-616),https://marvel.fandom.com/wiki/Achmed_Korba_(Earth-616),2.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0
Adam Blackveil (Earth-616),https://marvel.fandom.com/wiki/Adam_Blackveil_(Earth-616),2.0,6.0,1.0,5.0,2.0,2.0,2.0,6.0,1.0,5.0,7.0,2.0
Adam Brashear (Earth-616),https://marvel.fandom.com/wiki/Adam_Brashear_(Earth-616),6.0,5.0,4.0,6.0,5.0,7.0,6.0,5.0,4.0,6.0,5.0,7.0
Adam II (Earth-616),https://marvel.fandom.com/wiki/Adam_II_(Earth-616),3.0,1.0,2.0,4.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,4.0
Adam Neramani (Earth-616),https://marvel.fandom.com/wiki/Adam_Neramani_(Earth-616),3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0
Adam Warlock (Earth-616),https://marvel.fandom.com/wiki/Adam_Warlock_(Earth-616),6.0,6.0,2.0,3.0,3.0,5.0,6.0,6.0,2.0,3.0,7.0,5.0
Adri Nital (Earth-616),https://marvel.fandom.com/wiki/Adri_Nital_(Earth-616),4.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0
Adrian Corbo (Earth-616),https://marvel.fandom.com/wiki/Adrian_Corbo_(Earth-616),2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
Adrian Toomes (Earth-616),https://marvel.fandom.com/wiki/Adrian_Toomes_(Earth-616),5.0,1.0,2.0,5.0,3.0,3.0,5.0,1.0,2.0,5.0,3.0,3.0
Adriana Soria (Earth-616),https://marvel.fandom.com/wiki/Adriana_Soria_(Earth-616),2.0,5.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0
Adversary (Earth-616),https://marvel.fandom.com/wiki/Adversary_(Earth-616),7.0,7.0,2.0,7.0,7.0,4.0,7.0,7.0,2.0,7.0,7.0,4.0
Advisor (Earth-616),https://marvel.fandom.com/wiki/Advisor_(Earth-616),6.0,5.0,2.0,3.0,2.0,2.0,6.0,5.0,2.0,3.0,7.0,2.0
Aegis (Monster) (Earth-616),https://marvel.fandom.com/wiki/Aegis_(Monster)_(Earth-616),6.0,7.0,2.0,2.0,7.0,3.0,6.0,7.0,2.0,2.0,7.0,3.0
Agamotto (Earth-616),https://marvel.fandom.com/wiki/Agamotto_(Earth-616),7.0,7.0,4.0,5.0,2.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0
Agatha Harkness (Earth-616),https://marvel.fandom.com/wiki/Agatha_Harkness_(Earth-616),1.0,6.0,1.0,4.0,1.0,1.0,1.0,6.0,1.0,4.0,7.0,1.0
Aged Genghis (Earth-616),https://marvel.fandom.com/wiki/Aged_Genghis_(Earth-616),1.0,2.0,1.0,1.0,1.0,1.0,7.0,6.0,1.0,3.0,7.0,1.0
Agent X (Nijo) (Earth-616),https://marvel.fandom.com/wiki/Agent_X_(Nijo)_(Earth-616),4.0,1.0,6.0,2.0,2.0,2.0,4.0,1.0,6.0,2.0,2.0,2.0
Aggamon (Earth-616),https://marvel.fandom.com/wiki/Aggamon_(Earth-616),3.0,6.0,1.0,3.0,2.0,2.0,3.0,6.0,1.0,3.0,7.0,2.0
Agron (Earth-76216),https://marvel.fandom.com/wiki/Agron_(Earth-76216),6.0,6.0,1.0,3.0,3.0,4.0,6.0,6.0,1.0,3.0,3.0,4.0
Ah Puch (Ahau) (Earth-616),https://marvel.fandom.com/wiki/Ah_Puch_(Ahau)_(Earth-616),7.0,6.0,4.0,3.0,2.0,5.0,7.0,6.0,4.0,3.0,7.0,5.0
Ahmet Abdol (Earth-616),https://marvel.fandom.com/wiki/Ahmet_Abdol_(Earth-616),6.0,5.0,2.0,2.0,2.0,5.0,6.0,5.0,2.0,2.0,2.0,5.0
Ahura Boltagon (Earth-616),https://marvel.fandom.com/wiki/Ahura_Boltagon_(Earth-616),2.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0
Ai Apaec (Earth-616),https://marvel.fandom.com/wiki/Ai_Apaec_(Earth-616),6.0,1.0,4.0,2.0,2.0,4.0,6.0,1.0,4.0,2.0,2.0,4.0
Aiden Gillespie (Earth-616),https://marvel.fandom.com/wiki/Aiden_Gillespie_(Earth-616),6.0,1.0,4.0,2.0,2.0,4.0,6.0,1.0,4.0,2.0,2.0,4.0
Aiko Miyazaki (Earth-616),https://marvel.fandom.com/wiki/Aiko_Miyazaki_(Earth-616),2.0,7.0,6.0,5.0,2.0,2.0,2.0,7.0,6.0,5.0,2.0,2.0
Aireo (Earth-616),https://marvel.fandom.com/wiki/Aireo_(Earth-616),2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0
Ajak (Earth-616),https://marvel.fandom.com/wiki/Ajak_(Earth-616),7.0,6.0,4.0,3.0,4.0,4.0,7.0,6.0,4.0,3.0,7.0,4.0
Akihiro (Earth-616),https://marvel.fandom.com/wiki/Akihiro_(Earth-616),4.0,1.0,7.0,3.0,2.0,3.0,4.0,1.0,7.0,3.0,2.0,3.0
Alain Racine (Earth-616),https://marvel.fandom.com/wiki/Alain_Racine_(Earth-616),2.0,1.0,5.0,4.0,3.0,2.0,2.0,1.0,5.0,4.0,3.0,2.0
Alan Dakor (Earth-616),https://marvel.fandom.com/wiki/Alan_Dakor_(Earth-616),3.0,6.0,4.0,3.0,2.0,2.0,3.0,6.0,4.0,3.0,7.0,2.0
Alan Fagan (Earth-616),https://marvel.fandom.com/wiki/Alan_Fagan_(Earth-616),2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
Alana Jobson (Earth-616),https://marvel.fandom.com/wiki/Alana_Jobson_(Earth-616),4.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0
Albert (Earth-616),https://marvel.fandom.com/wiki/Albert_(Earth-616),5.0,1.0,6.0,5.0,2.0,4.0,5.0,1.0,6.0,5.0,2.0,4.0
Albert Malik (Earth-616),https://marvel.fandom.com/wiki/Albert_Malik_(Earth-616),2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
Albert Potter (Earth-616),https://marvel.fandom.com/wiki/Albert_Potter_(Earth-616),3.0,6.0,2.0,5.0,3.0,4.0,3.0,6.0,2.0,5.0,3.0,4.0
Alden Maas (Earth-616),https://marvel.fandom.com/wiki/Alden_Maas_(Earth-616),2.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0
Aldo Ferro (Earth-616),https://marvel.fandom.com/wiki/Aldo_Ferro_(Earth-616),5.0,6.0,2.0,3.0,3.0,4.0,5.0,6.0,2.0,3.0,3.0,4.0
Aldrif Odinsdottir (Earth-616),https://marvel.fandom.com/wiki/Aldrif_Odinsdottir_(Earth-616),3.0,1.0,6.0,3.0,3.0,5.0,3.0,1.0,6.0,3.0,3.0,5.0
Alejandra Jones (Earth-616),https://marvel.fandom.com/wiki/Alejandra_Jones_(Earth-616),5.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0
Aleksei Sytsevich (Earth-616),https://marvel.fandom.com/wiki/Aleksei_Sytsevich_(Earth-616),5.0,1.0,2.0,2.0,3.0,5.0,6.0,1.0,2.0,2.0,3.0,6.0
Aleksey Lebedev (Earth-616),https://marvel.fandom.com/wiki/Aleksey_Lebedev_(Earth-616),2.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0
Aleta Ogord (Earth-691),https://marvel.fandom.com/wiki/Aleta_Ogord_(Earth-691),2.0,1.0,4.0,2.0,2.0,2.0,6.0,5.0,4.0,4.0,7.0,4.0
Alex Wilder (Earth-616),https://marvel.fandom.com/wiki/Alex_Wilder_(Earth-616),2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0
Alex Wildman (Earth-616),https://marvel.fandom.com/wiki/Alex_Wildman_(Earth-616),6.0,6.0,3.0,2.0,4.0,6.0,6.0,6.0,3.0,2.0,4.0,6.0
Alexander Aaron (Earth-616),https://marvel.fandom.com/wiki/Alexander_Aaron_(Earth-616),2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
Alexander Bont (Earth-616),https://marvel.fandom.com/wiki/Alexander_Bont_(Earth-616),1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0
Alexander Ellis (Earth-616),https://marvel.fandom.com/wiki/Alexander_Ellis_(Earth-616),4.0,6.0,4.0,2.0,4.0,4.0,4.0,6.0,4.0,6.0,4.0,4.0
Alexander Gentry (Earth-616),https://marvel.fandom.com/wiki/Alexander_Gentry_(Earth-616),2.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0
Alexander Power (Earth-616),https://marvel.fandom.com/wiki/Alexander_Power_(Earth-616),4.0,4.0,3.0,5.0,3.0,2.0,6.0,5.0,3.0,5.0,7.0,2.0
Alexander Summers (Earth-616),https://marvel.fandom.com/wiki/Alexander_Summers_(Earth-616),3.0,5.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,2.0,2.0
Alexander Thorne (Earth-616),https://marvel.fandom.com/wiki/Alexander_Thorne_(Earth-616),2.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,2.0
Alexander Woolcot (Earth-616),https://marvel.fandom.com/wiki/Alexander_Woolcot_(Earth-616),2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0
Alexei Kravinoff (Earth-616),https://marvel.fandom.com/wiki/Alexei_Kravinoff_(Earth-616),4.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0
Alexi Shostakov (Earth-616),https://marvel.fandom.com/wiki/Alexi_Shostakov_(Earth-616),2.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0
Alexis (Earth-616),https://marvel.fandom.com/wiki/Alexis_(Earth-616),4.0,6.0,2.0,3.0,4.0,4.0,4.0,6.0,2.0,3.0,4.0,4.0
Alfie O'Meagan (Earth-8908),https://marvel.fandom.com/wiki/Alfie_O%27Meagan_(Earth-8908),7.0,7.0,1.0,3.0,7.0,2.0,7.0,7.0,1.0,3.0,7.0,2.0
Alfonso Lopez (Earth-616),https://marvel.fandom.com/wiki/Alfonso_Lopez_(Earth-616),2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0
Alfredo Morelli (Earth-616),https://marvel.fandom.com/wiki/Alfredo_Morelli_(Earth-616),2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0
Alice MacAllister (Earth-616),https://marvel.fandom.com/wiki/Alice_MacAllister_(Earth-616),6.0,2.0,1.0,3.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,1.0
Alice Nugent (Earth-616),https://marvel.fandom.com/wiki/Alice_Nugent_(Earth-616),6.0,6.0,2.0,4.0,5.0,2.0,6.0,6.0,2.0,4.0,5.0,2.0
Alicia Masters (Earth-616),https://marvel.fandom.com/wiki/Alicia_Masters_(Earth-616),2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0
Alioth (Temporal Limbo),https://marvel.fandom.com/wiki/Alioth_(Temporal_Limbo),7.0,5.0,2.0,2.0,2.0,7.0,7.0,5.0,2.0,2.0,7.0,7.0
Alisher Sham (Earth-616),https://marvel.fandom.com/wiki/Alisher_Sham_(Earth-616),2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
Alison Blaire (Earth-1610),https://marvel.fandom.com/wiki/Alison_Blaire_(Earth-1610),2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
Alison Blaire (Earth-295),https://marvel.fandom.com/wiki/Alison_Blaire_(Earth-295),2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0
Alison Blaire (Earth-616),https://marvel.fandom.com/wiki/Alison_Blaire_(Earth-616),3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0
Alistaire Armstrong (Earth-616),https://marvel.fandom.com/wiki/Alistaire_Armstrong_(Earth-616),2.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0
Alistaire Smythe (Earth-616),https://marvel.fandom.com/wiki/Alistaire_Smythe_(Earth-616),2.0,1.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,5.0,3.0,4.0
Alistaire Stuart (Earth-616),https://marvel.fandom.com/wiki/Alistaire_Stuart_(Earth-616),3.0,1.0,2.0,6.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,2.0
Alkhema (Earth-616),https://marvel.fandom.com/wiki/Alkhema_(Earth-616),7.0,4.0,4.0,4.0,3.0,5.0,7.0,4.0,4.0,4.0,3.0,5.0
Allan Lewis (Earth-616),https://marvel.fandom.com/wiki/Allan_Lewis_(Earth-616),2.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0
Alonzo Lincoln (Earth-616),https://marvel.fandom.com/wiki/Alonzo_Lincoln_(Earth-616),5.0,1.0,4.0,1.0,3.0,4.0,5.0,1.0,4.0,1.0,3.0,4.0
Alpha (Mutant) (Earth-616),https://marvel.fandom.com/wiki/Alpha_(Mutant)_(Earth-616),3.0,6.0,3.0,6.0,2.0,3.0,3.0,6.0,3.0,6.0,7.0,3.0
Alton Vibereaux (Earth-616),https://marvel.fandom.com/wiki/Alton_Vibereaux_(Earth-616),4.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0
Alysande Stuart (Earth-9809),https://marvel.fandom.com/wiki/Alysande_Stuart_(Earth-9809),3.0,1.0,5.0,2.0,2.0,3.0,3.0,1.0,5.0,2.0,2.0,3.0
Alyssa Moy (Earth-616),https://marvel.fandom.com/wiki/Alyssa_Moy_(Earth-616),2.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,2.0
Amadeus Cho (Earth-616),https://marvel.fandom.com/wiki/Amadeus_Cho_(Earth-616),2.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,2.0
Amanda Mueller (Earth-616),https://marvel.fandom.com/wiki/Amanda_Mueller_(Earth-616),3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0
Amara Aquilla (Earth-616),https://marvel.fandom.com/wiki/Amara_Aquilla_(Earth-616),2.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0
Amatsu-Mikaboshi (Earth-616),https://marvel.fandom.com/wiki/Amatsu-Mikaboshi_(Earth-616),7.0,6.0,4.0,5.0,5.0,4.0,7.0,6.0,4.0,5.0,5.0,4.0
Ambient-Energy Dampening Actualization Module Unit Zero (Earth-4935),https://marvel.fandom.com/wiki/Ambient-Energy_Dampening_Actualization_Module_Unit_Zero_(Earth-4935),6.0,6.0,1.0,3.0,3.0,3.0,6.0,6.0,1.0,3.0,7.0,3.0
Ambrose Meek (Earth-616),https://marvel.fandom.com/wiki/Ambrose_Meek_(Earth-616),2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
Amelia Voght (Earth-616),https://marvel.fandom.com/wiki/Amelia_Voght_(Earth-616),3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,7.0,2.0
Amelia Weatherly (Earth-616),https://marvel.fandom.com/wiki/Amelia_Weatherly_(Earth-616),3.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0
Amenhotep IV (Earth-4321),https://marvel.fandom.com/wiki/Amenhotep_IV_(Earth-4321),6.0,7.0,2.0,4.0,7.0,7.0,6.0,7.0,2.0,4.0,7.0,7.0
America Chavez (Earth-616),https://marvel.fandom.com/wiki/America_Chavez_(Earth-616),6.0,5.0,4.0,3.0,3.0,5.0,6.0,5.0,4.0,3.0,3.0,5.0
American Samurai (Earth-616),https://marvel.fandom.com/wiki/American_Samurai_(Earth-616),4.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,4.0,2.0,7.0,3.0
Amiko Kobayashi (Earth-616),https://marvel.fandom.com/wiki/Amiko_Kobayashi_(Earth-616),2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
Amora (Earth-616),https://marvel.fandom.com/wiki/Amora_(Earth-616),6.0,6.0,2.0,4.0,2.0,4.0,6.0,6.0,2.0,4.0,7.0,4.0
Amphibius (Earth-616),https://marvel.fandom.com/wiki/Amphibius_(Earth-616),2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0
Ana Shwartz (Earth-616),https://marvel.fandom.com/wiki/Ana_Shwartz_(Earth-616),3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0
Ananastasia Rinaldi (Earth-616),https://marvel.fandom.com/wiki/Ananastasia_Rinaldi_(Earth-616),2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
Ananym (Earth-616),https://marvel.fandom.com/wiki/Ananym_(Earth-616),6.0,6.0,3.0,4.0,2.0,4.0,6.0,6.0,3.0,4.0,7.0,4.0
Anastasia Kravinoff (Earth-616),https://marvel.fandom.com/wiki/Anastasia_Kravinoff_(Earth-616),3.0,1.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0
Anath-Na Mut (Earth-616),https://marvel.fandom.com/wiki/Anath-Na_Mut_(Earth-616),6.0,6.0,2.0,3.0,7.0,6.0,6.0,6.0,2.0,3.0,7.0,6.0
Andrea Benton (Earth-616),https://marvel.fandom.com/wiki/Andrea_Benton_(Earth-616),5.0,4.0,3.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,7.0,4.0
Andrea Roarke (Earth-616),https://marvel.fandom.com/wiki/Andrea_Roarke_(Earth-616),2.0,5.0,3.0,2.0,3.0,2.0,6.0,5.0,3.0,2.0,3.0,2.0
Andrea von Strucker (Clone) (Earth-616),https://marvel.fandom.com/wiki/Andrea_von_Strucker_(Clone)_(Earth-616),2.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0
Andrea von Strucker (Earth-1610),https://marvel.fandom.com/wiki/Andrea_von_Strucker_(Earth-1610),2.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0
Andrea von Strucker (Earth-616),https://marvel.fandom.com/wiki/Andrea_von_Strucker_(Earth-616),2.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0
Andreas von Strucker (Earth-1610),https://marvel.fandom.com/wiki/Andreas_von_Strucker_(Earth-1610),2.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0
Andreas von Strucker (Earth-616),https://marvel.fandom.com/wiki/Andreas_von_Strucker_(Earth-616),2.0,5.0,5.0,2.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,3.0
Andrei Rostov (Agamemnon) (Earth-616),https://marvel.fandom.com/wiki/Andrei_Rostov_(Agamemnon)_(Earth-616),2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0
Andrew Forson (Earth-616),https://marvel.fandom.com/wiki/Andrew_Forson_(Earth-616),2.0,3.0,1.0,5.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,2.0
Andrew Graves (Earth-616),https://marvel.fandom.com/wiki/Andrew_Graves_(Earth-616),3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0
Andro (Earth-616),https://marvel.fandom.com/wiki/Andro_(Earth-616),6.0,5.0,4.0,6.0,3.0,4.0,6.0,5.0,4.0,6.0,7.0,4.0
Android Man (Earth-616),https://marvel.fandom.com/wiki/Android_Man_(Earth-616),5.0,1.0,3.0,2.0,2.0,4.0,5.0,1.0,3.0,2.0,2.0,4.0
Andromeda Attumasen (Earth-616),https://marvel.fandom.com/wiki/Andromeda_Attumasen_(Earth-616),3.0,1.0,4.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,3.0,4.0
André Gerard (Earth-616),https://marvel.fandom.com/wiki/Andr%C3%A9_Gerard_(Earth-616),3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0
Anelle (Earth-616),https://marvel.fandom.com/wiki/Anelle_(Earth-616),2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
Angel Dust (Christina) (Earth-616),https://marvel.fandom.com/wiki/Angel_Dust_(Christina)_(Earth-616),3.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0
Angel Salvadore (Earth-616),https://marvel.fandom.com/wiki/Angel_Salvadore_(Earth-616),2.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0,3.0,2.0
Angela Cairn (Earth-616),https://marvel.fandom.com/wiki/Angela_Cairn_(Earth-616),3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0
Angelica Jones (Earth-616),https://marvel.fandom.com/wiki/Angelica_Jones_(Earth-616),2.0,5.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0
Angelina Brancale (Earth-616),https://marvel.fandom.com/wiki/Angelina_Brancale_(Earth-616),6.0,1.0,3.0,2.0,2.0,5.0,6.0,1.0,3.0,2.0,2.0,5.0
Angelo Espinosa (Earth-616),https://marvel.fandom.com/wiki/Angelo_Espinosa_(Earth-616),3.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0
Animus (Hate-Monger) (Earth-616),https://marvel.fandom.com/wiki/Animus_(Hate-Monger)_(Earth-616),4.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0
Anna Watson (Earth-616),https://marvel.fandom.com/wiki/Anna_Watson_(Earth-616),2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
Anna-May Parker (Earth-18119),https://marvel.fandom.com/wiki/Anna-May_Parker_(Earth-18119),3.0,1.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0
Annalee (Earth-616),https://marvel.fandom.com/wiki/Annalee_(Earth-616),2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
Anne Weying (Earth-616),https://marvel.fandom.com/wiki/Anne_Weying_(Earth-616),2.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,2.0,2.0,2.0,4.0
